"ComputerName","Instance","DatabaseName","SchemaName","TableName","ColumnName","ColumnDataType","ColumnMaxLength"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_chishuv_tosafot_lhotsaot","sug_hishuv_tosafot_lehotsaot_desc","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_chishuv_tosafot_lhotsaot","sug_hishuv_tosafot_lehotsaot","varchar","1"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_derech_mesira","derech_mesira","char","7"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_derech_mesira","derech_mesira_deec","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_Hamtana","start_prog","bit",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_Hamtana","kod_miyun","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_Hamtana","sibat_hamtana","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_Hamtana","sibat_hamtana_desc","varchar","100"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpa_actual_weak","sibat_hakpaa","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpa_actual_weak","sibat_hakpaa_desc","varchar","35"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpa_actual_weak","start_prog","bit",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpa_actual_weak","kod_miyun","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpaa","sibat_hakpaa","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpaa","sibat_hakpaa_desc","varchar","100"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpaa","start_prog","bit",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_Hakpaa","kod_miyun","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_sgira_loaded","sibat_sgira","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_sgira_loaded","sibat_sgira_desc","varchar","100"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_sgiraXXXXXXX","sibat_sgira","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_sgiraXXXXXXX","sibat_sgira_desc","varchar","100"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sibot_sgiraXXXXXXX","sibat_sgira_category","nchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sug_inyan","kod_sug_inyan","varchar","4"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sug_inyan","teur_sug_inyan","varchar","45"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sugei_tik","sug_chov","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sugei_tik","teur","varchar","20"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sugei_tik","teur_desc","varchar","53"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sugei_tik111111111111111111","sug_chov","smallint",""
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_sugei_tik111111111111111111","teur","varchar","30"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_makor_tashlum","makor_tashlum","char","1"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_makor_tashlum","makor__tashlum_desc","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_makor_tashlum","makor_tashlum_bamerkaz","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_tzurat_tashlum","tzurat_tashlum","char","1"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_tzurat_tashlum","tzurat_tashlum_desc","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","codes_tash_tzurat_tashlum","Tzurat_tashlum_where","nvarchar","50"
"ECA-BINA2-DWH","ECA-BINA2-DWH\DWH","MG_DW","dbo","count_tikim_bucket","Gormim_Count","int",""
